Name,gender_id,birth_year,death_year,data_source_id,religion_id
Sarah Rundell,,NA,NA,3,1
John F Rutter,,NA,NA,3,1
Samuel Rutter,,NA,NA,3,1
E Sayce,,NA,NA,3,1
Hannah Scarr,,NA,NA,3,1
F Seebohm,,NA,NA,3,1
John R Seekings,,NA,NA,3,1
James Sessions,,NA,NA,3,1
Lydia Sessions,,NA,NA,3,1
Robert Sessions,,NA,NA,3,1
Abraham Sewell,,NA,NA,3,1
E F Sewell,,NA,NA,3,1
Joseph Sewell,,NA,NA,3,1
Phillip Sewell,,NA,NA,3,1
Joseph Sharples,,NA,NA,3,1
John T Shewell,,NA,NA,3,1
Thomas Short,,NA,NA,3,1
W Dillwyn Sims,,NA,NA,3,1
W Skinner,,NA,NA,3,1
Bartholomew Smith,,NA,NA,3,1
George Smithson,,NA,NA,3,1
E P Southall,,NA,NA,3,1
Sarah Southall,,NA,NA,3,1
J M Sparkes,,NA,NA,3,1
H Squire,,NA,NA,3,1
John Stansfield,,NA,NA,3,1
Joseph Sterry,,NA,NA,3,1
Sarah Sterry,,NA,NA,3,1
J L Stevens,,NA,NA,3,1
Charles Sturge,,NA,NA,3,1
Edmund Sturge,,NA,NA,3,1
George Sturge,,NA,NA,3,1
H J Sturge,,NA,NA,3,1
Samuel Sturge,,NA,NA,3,1
Thomas M Sturge,,NA,NA,3,1
Walter Sturge,,NA,NA,3,1
Jemima Swan,,NA,NA,3,1
William Tanner,,NA,NA,3,1
W Tatum,,NA,NA,3,1
Edward Thomas,,NA,NA,3,1
George Thomas,,NA,NA,3,1
Samuel Thompson,,NA,NA,3,1
Fielden Thorpe,,NA,NA,3,1
E O Tindale,,NA,NA,3,1
Robert Tindall,,NA,NA,3,1
Joshua Treffry,,NA,NA,3,1
Nathaniel Tregellis,,NA,NA,3,1
Elizabeth Tuckett,,NA,NA,3,1
Francis Tuckett,,NA,NA,3,1
P Debell Tuckett,,NA,NA,3,1
D Tuke,,NA,NA,3,1
J H Tuke,,NA,NA,3,1
Samuel Tuke,,NA,NA,3,1
Ann Tweedy,,NA,NA,3,1
R Tweedy,,NA,NA,3,1
William Tweedy,,NA,NA,3,1
Richard Veale,,NA,NA,3,1
William Veale,,NA,NA,3,1
John Wadge,,NA,NA,3,1
F J Walker,,NA,NA,3,1
Marriage Wallis,,NA,NA,3,1
Charles B Warner,,NA,NA,3,1
Septimus Warner,,NA,NA,3,1
Lucy Westcombe,,NA,NA,3,1
Thomas Westcombe,,NA,NA,3,1
Benjamin Wheeler,,NA,NA,3,1
Frederick Wheeler,,NA,NA,3,1
Samuel Wheeler,,NA,NA,3,1
John Whiting,,NA,NA,3,1
John Wiblin,,NA,NA,3,1
Caleb Williams,,NA,NA,3,1
John E Wilson,,NA,NA,3,1
Joshua Wilson,,NA,NA,3,1
F Woodhead,,NA,NA,3,1
W Woolston,,NA,NA,3,1
Francis Wright,,NA,NA,3,1
S W Wright,,NA,NA,3,1
